shipment_id,po_id,vessel_name,transport_mode,origin_port,destination_port,current_lat,current_lon,timestamp,speed_knots,eta
SHP-0001,PO-00001,OOCL Hong Kong,sea,Laem Chabang,Houston,18.874664071472107,114.808021679635,2026-02-26T10:58:48Z,21.1,2026-03-09
SHP-0001,PO-00001,OOCL Hong Kong,sea,Laem Chabang,Houston,16.673460147596685,116.13290798392151,2026-02-27T03:46:48Z,16.2,2026-03-19
SHP-0001,PO-00001,OOCL Hong Kong,sea,Laem Chabang,Houston,17.706521316112354,115.57336273682195,2026-02-27T20:34:48Z,6.0,2026-03-06
SHP-0001,PO-00001,OOCL Hong Kong,sea,Laem Chabang,Houston,18.415927643993452,114.60646901805025,2026-02-28T13:22:48Z,6.8,2026-03-16
SHP-0001,PO-00001,OOCL Hong Kong,sea,Laem Chabang,Houston,19.349605259588387,114.77424931745203,2026-03-01T06:10:48Z,10.5,2026-03-07
SHP-0001,PO-00001,OOCL Hong Kong,sea,Laem Chabang,Houston,17.093335302641457,113.50476635322022,2026-03-01T22:58:48Z,15.8,2026-03-15
SHP-0001,PO-00001,OOCL Hong Kong,sea,Laem Chabang,Houston,18.693425736193443,114.30074177327467,2026-03-02T15:46:48Z,14.0,2026-03-15
SHP-0001,PO-00001,OOCL Hong Kong,sea,Laem Chabang,Houston,18.314861670301887,115.42170716614125,2026-03-03T08:34:48Z,18.5,2026-03-07
SHP-0001,PO-00001,OOCL Hong Kong,sea,Laem Chabang,Houston,16.95765628972032,115.61885183009257,2026-03-04T01:22:48Z,14.4,2026-03-18
SHP-0001,PO-00001,OOCL Hong Kong,sea,Laem Chabang,Houston,19.961969262809248,114.72027976666554,2026-03-04T18:10:48Z,12.0,2026-03-09
SHP-0002,PO-00002,Maersk Eindhoven,sea,Laem Chabang,Houston,17.750193399988532,114.25009428456747,2026-02-26T10:58:48Z,11.4,2026-03-10
SHP-0002,PO-00002,Maersk Eindhoven,sea,Laem Chabang,Houston,17.110555699074894,116.69194014293754,2026-02-27T14:58:48Z,6.6,2026-03-07
SHP-0002,PO-00002,Maersk Eindhoven,sea,Laem Chabang,Houston,16.84145742932648,114.72750607420696,2026-02-28T18:58:48Z,17.6,2026-03-17
SHP-0002,PO-00002,Maersk Eindhoven,sea,Laem Chabang,Houston,19.74707714110957,115.2254829424614,2026-03-01T22:58:48Z,21.3,2026-03-15
SHP-0002,PO-00002,Maersk Eindhoven,sea,Laem Chabang,Houston,18.746733526278913,115.68005305892919,2026-03-03T02:58:48Z,11.0,2026-03-12
SHP-0002,PO-00002,Maersk Eindhoven,sea,Laem Chabang,Houston,19.161362080011664,116.00113700100592,2026-03-04T06:58:48Z,20.6,2026-03-19
SHP-0003,PO-00003,CMA CGM Jacques Saade,air,Shanghai,Long Beach,17.906584742772594,115.31167407355942,2026-02-26T10:58:48Z,7.6,2026-03-09
SHP-0003,PO-00003,CMA CGM Jacques Saade,air,Shanghai,Long Beach,18.428757584817554,116.3890993925398,2026-02-27T07:58:48Z,19.4,2026-03-11
SHP-0003,PO-00003,CMA CGM Jacques Saade,air,Shanghai,Long Beach,17.9702442024614,116.0504225277474,2026-02-28T04:58:48Z,8.8,2026-03-15
SHP-0003,PO-00003,CMA CGM Jacques Saade,air,Shanghai,Long Beach,18.216449643527124,115.24386280699213,2026-03-01T01:58:48Z,18.9,2026-03-18
SHP-0003,PO-00003,CMA CGM Jacques Saade,air,Shanghai,Long Beach,18.95429312214186,115.57079665531933,2026-03-01T22:58:48Z,15.4,2026-03-06
SHP-0003,PO-00003,CMA CGM Jacques Saade,air,Shanghai,Long Beach,19.131324911995552,115.77388475142264,2026-03-02T19:58:48Z,8.1,2026-03-06
SHP-0003,PO-00003,CMA CGM Jacques Saade,air,Shanghai,Long Beach,19.310795091462417,114.23593875531964,2026-03-03T16:58:48Z,11.0,2026-03-11
SHP-0003,PO-00003,CMA CGM Jacques Saade,air,Shanghai,Long Beach,17.225622232850274,113.57300596136811,2026-03-04T13:58:48Z,11.8,2026-03-16
SHP-0004,PO-00005,PIL Aries,rail,Shenzhen,Long Beach,24.36703073221778,-89.87806924536429,2026-02-26T10:58:48Z,12.1,2026-03-12
SHP-0004,PO-00005,PIL Aries,rail,Shenzhen,Long Beach,25.363583927077332,-90.51978763009198,2026-02-27T14:58:48Z,10.5,2026-03-17
SHP-0004,PO-00005,PIL Aries,rail,Shenzhen,Long Beach,27.76562969588022,-89.61510491117963,2026-02-28T18:58:48Z,7.6,2026-03-06
SHP-0004,PO-00005,PIL Aries,rail,Shenzhen,Long Beach,27.01774351649994,-91.80095003026817,2026-03-01T22:58:48Z,9.6,2026-03-07
SHP-0004,PO-00005,PIL Aries,rail,Shenzhen,Long Beach,26.647754771233046,-90.05735318043601,2026-03-03T02:58:48Z,12.0,2026-03-13
SHP-0004,PO-00005,PIL Aries,rail,Shenzhen,Long Beach,24.862275861350987,-89.95061477679558,2026-03-04T06:58:48Z,12.3,2026-03-11
SHP-0005,PO-00009,ZIM Samson,rail,Rotterdam,Savannah,25.946531013457005,-89.3314697650546,2026-02-26T10:58:48Z,8.7,2026-03-06
SHP-0005,PO-00009,ZIM Samson,rail,Rotterdam,Savannah,27.937782633284478,-91.78087216592768,2026-02-27T03:46:48Z,10.1,2026-03-09
SHP-0005,PO-00009,ZIM Samson,rail,Rotterdam,Savannah,24.844935916881248,-91.45106077897069,2026-02-27T20:34:48Z,9.9,2026-03-10
SHP-0005,PO-00009,ZIM Samson,rail,Rotterdam,Savannah,24.479937374822196,-90.0104586855467,2026-02-28T13:22:48Z,8.0,2026-03-12
SHP-0005,PO-00009,ZIM Samson,rail,Rotterdam,Savannah,25.520829782860943,-89.18531494646935,2026-03-01T06:10:48Z,14.5,2026-03-14
SHP-0005,PO-00009,ZIM Samson,rail,Rotterdam,Savannah,26.672192686980967,-90.5833313145615,2026-03-01T22:58:48Z,19.6,2026-03-12
SHP-0005,PO-00009,ZIM Samson,rail,Rotterdam,Savannah,24.169209046251165,-91.92503385365741,2026-03-02T15:46:48Z,19.7,2026-03-07
SHP-0005,PO-00009,ZIM Samson,rail,Rotterdam,Savannah,26.303036642947326,-89.70640127645663,2026-03-03T08:34:48Z,15.9,2026-03-17
SHP-0005,PO-00009,ZIM Samson,rail,Rotterdam,Savannah,25.15806082234303,-90.37987077174019,2026-03-04T01:22:48Z,7.9,2026-03-11
SHP-0005,PO-00009,ZIM Samson,rail,Rotterdam,Savannah,27.79045723730699,-90.15961239242476,2026-03-04T18:10:48Z,20.6,2026-03-17
SHP-0006,PO-00010,Maersk Eindhoven,sea,Shanghai,Savannah,31.2719,96.0504,2026-02-26T10:58:48Z,11.7,2026-03-07
SHP-0006,PO-00010,Maersk Eindhoven,sea,Shanghai,Savannah,31.2528,70.6695,2026-02-27T10:58:48Z,18.2,2026-03-11
SHP-0006,PO-00010,Maersk Eindhoven,sea,Shanghai,Savannah,31.1251,45.6432,2026-02-28T10:58:48Z,13.7,2026-03-14
SHP-0006,PO-00010,Maersk Eindhoven,sea,Shanghai,Savannah,32.0609,20.0394,2026-03-01T10:58:48Z,21.3,2026-03-17
SHP-0006,PO-00010,Maersk Eindhoven,sea,Shanghai,Savannah,31.9067,-5.4823,2026-03-02T10:58:48Z,7.5,2026-03-07
SHP-0006,PO-00010,Maersk Eindhoven,sea,Shanghai,Savannah,31.5648,-30.3476,2026-03-03T10:58:48Z,17.9,2026-03-18
SHP-0006,PO-00010,Maersk Eindhoven,sea,Shanghai,Savannah,31.5491,-55.3187,2026-03-04T10:58:48Z,13.4,2026-03-16
SHP-0007,PO-00012,OOCL Hong Kong,air,Shanghai,Hamburg,33.6431,110.704,2026-02-26T10:58:48Z,15.8,2026-03-16
SHP-0007,PO-00012,OOCL Hong Kong,air,Shanghai,Hamburg,35.8185,99.5382,2026-02-27T05:38:48Z,10.4,2026-03-16
SHP-0007,PO-00012,OOCL Hong Kong,air,Shanghai,Hamburg,37.8658,87.9949,2026-02-28T00:18:48Z,10.1,2026-03-16
SHP-0007,PO-00012,OOCL Hong Kong,air,Shanghai,Hamburg,39.9327,76.4342,2026-02-28T18:58:48Z,6.3,2026-03-14
SHP-0007,PO-00012,OOCL Hong Kong,air,Shanghai,Hamburg,42.3517,65.2676,2026-03-01T13:38:48Z,19.1,2026-03-11
SHP-0007,PO-00012,OOCL Hong Kong,air,Shanghai,Hamburg,44.1987,54.9463,2026-03-02T08:18:48Z,6.5,2026-03-19
SHP-0007,PO-00012,OOCL Hong Kong,air,Shanghai,Hamburg,46.9481,43.3185,2026-03-03T02:58:48Z,14.4,2026-03-15
SHP-0007,PO-00012,OOCL Hong Kong,air,Shanghai,Hamburg,49.3778,32.6819,2026-03-03T21:38:48Z,20.5,2026-03-13
SHP-0007,PO-00012,OOCL Hong Kong,air,Shanghai,Hamburg,51.3897,20.8262,2026-03-04T16:18:48Z,13.1,2026-03-15
SHP-0008,PO-00013,Ever Given,sea,Shenzhen,Long Beach,24.4553,81.2188,2026-02-26T10:58:48Z,6.4,2026-03-17
SHP-0008,PO-00013,Ever Given,sea,Shenzhen,Long Beach,25.8947,47.242,2026-02-27T14:58:48Z,12.4,2026-03-17
